ordinal,fault_id,paired_fault_id,stuck_at,location_id,site_id,site_key,region,source_net,source_class,source_fanout,fanout_bucket,sink_instance,sink_cell_type,sink_pin,sink_role,stratum,result,screening_decision,xrun_exit_status,run_dir,xrun_log,signature_present,fault_json_present,fault_patch_present
119,BF0060_SA0,BF0060_SA1,0,BL00060,BS005034,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27863|B1,csr_debug,n_152,combinational_output,32,gt_8,g27863,AOI222_X1,B1,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0060_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0060_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
120,BF0060_SA1,BF0060_SA0,1,BL00060,BS005034,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27863|B1,csr_debug,n_152,combinational_output,32,gt_8,g27863,AOI222_X1,B1,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0060_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0060_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
121,BF0061_SA0,BF0061_SA1,0,BL00061,BS005104,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27439|B2,csr_debug,n_223,combinational_output,32,gt_8,g27439,OAI221_X1,B2,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0061_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0061_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
122,BF0061_SA1,BF0061_SA0,1,BL00061,BS005104,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27439|B2,csr_debug,n_223,combinational_output,32,gt_8,g27439,OAI221_X1,B2,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0061_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0061_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
123,BF0062_SA0,BF0062_SA1,0,BL00062,BS005134,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27770|A,csr_debug,n_230,combinational_output,20,gt_8,g27770,AOI211_X1,A,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0062_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0062_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
124,BF0062_SA1,BF0062_SA0,1,BL00062,BS005134,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27770|A,csr_debug,n_230,combinational_output,20,gt_8,g27770,AOI211_X1,A,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0062_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0062_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
125,BF0063_SA0,BF0063_SA1,0,BL00063,BS005239,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27599|A1,csr_debug,n_268,combinational_output,66,gt_8,g27599,NAND2_X1,A1,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0063_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0063_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
126,BF0063_SA1,BF0063_SA0,1,BL00063,BS005239,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27599|A1,csr_debug,n_268,combinational_output,66,gt_8,g27599,NAND2_X1,A1,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0063_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0063_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
127,BF0064_SA0,BF0064_SA1,0,BL00064,BS005353,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27569|C1,csr_debug,n_278,combinational_output,32,gt_8,g27569,AOI221_X1,C1,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0064_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0064_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
128,BF0064_SA1,BF0064_SA0,1,BL00064,BS005353,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27569|C1,csr_debug,n_278,combinational_output,32,gt_8,g27569,AOI221_X1,C1,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0064_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0064_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
129,BF0065_SA0,BF0065_SA1,0,BL00065,BS005365,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27399|B2,csr_debug,n_283,combinational_output,3,3_4,g27399,OAI221_X1,B2,combinational_input,csr_debug|combinational_output|3_4,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0065_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0065_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
130,BF0065_SA1,BF0065_SA0,1,BL00065,BS005365,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27399|B2,csr_debug,n_283,combinational_output,3,3_4,g27399,OAI221_X1,B2,combinational_input,csr_debug|combinational_output|3_4,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0065_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0065_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
131,BF0066_SA0,BF0066_SA1,0,BL00066,BS005560,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27871|C2,csr_debug,n_33,combinational_output,33,gt_8,g27871,AOI222_X1,C2,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0066_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0066_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
132,BF0066_SA1,BF0066_SA0,1,BL00066,BS005560,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27871|C2,csr_debug,n_33,combinational_output,33,gt_8,g27871,AOI222_X1,C2,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0066_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0066_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
133,BF0067_SA0,BF0067_SA1,0,BL00067,BS005582,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27659|C1,csr_debug,n_338,combinational_output,3,3_4,g27659,OAI221_X1,C1,combinational_input,csr_debug|combinational_output|3_4,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0067_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0067_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
134,BF0067_SA1,BF0067_SA0,1,BL00067,BS005582,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27659|C1,csr_debug,n_338,combinational_output,3,3_4,g27659,OAI221_X1,C1,combinational_input,csr_debug|combinational_output|3_4,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0067_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0067_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
135,BF0068_SA0,BF0068_SA1,0,BL00068,BS005636,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27861|C2,csr_debug,n_35,combinational_output,33,gt_8,g27861,AOI222_X1,C2,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0068_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0068_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
136,BF0068_SA1,BF0068_SA0,1,BL00068,BS005636,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27861|C2,csr_debug,n_35,combinational_output,33,gt_8,g27861,AOI222_X1,C2,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0068_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0068_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
137,BF0069_SA0,BF0069_SA1,0,BL00069,BS005864,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27682|B2,csr_debug,n_41,combinational_output,32,gt_8,g27682,OAI221_X1,B2,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0069_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0069_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
138,BF0069_SA1,BF0069_SA0,1,BL00069,BS005864,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27682|B2,csr_debug,n_41,combinational_output,32,gt_8,g27682,OAI221_X1,B2,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0069_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0069_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
139,BF0070_SA0,BF0070_SA1,0,BL00070,BS005895,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27639|C2,csr_debug,n_42,combinational_output,32,gt_8,g27639,OAI221_X1,C2,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0070_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0070_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
140,BF0070_SA1,BF0070_SA0,1,BL00070,BS005895,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27639|C2,csr_debug,n_42,combinational_output,32,gt_8,g27639,OAI221_X1,C2,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0070_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0070_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
141,BF0071_SA0,BF0071_SA1,0,BL00071,BS005901,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27652|C2,csr_debug,n_42,combinational_output,32,gt_8,g27652,OAI221_X1,C2,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0071_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0071_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
142,BF0071_SA1,BF0071_SA0,1,BL00071,BS005901,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27652|C2,csr_debug,n_42,combinational_output,32,gt_8,g27652,OAI221_X1,C2,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0071_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0071_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
143,BF0072_SA0,BF0072_SA1,0,BL00072,BS006004,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27696|C2,csr_debug,n_45,combinational_output,32,gt_8,g27696,OAI221_X1,C2,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0072_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0072_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
144,BF0072_SA1,BF0072_SA0,1,BL00072,BS006004,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27696|C2,csr_debug,n_45,combinational_output,32,gt_8,g27696,OAI221_X1,C2,combinational_input,csr_debug|combinational_output|gt_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0072_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0072_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
145,BF0073_SA0,BF0073_SA1,0,BL00073,BS006181,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g28230|A,csr_debug,n_747,sequential_output,2,2,g28230,INV_X1,A,combinational_input,csr_debug|sequential_output|2,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0073_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0073_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
146,BF0073_SA1,BF0073_SA0,1,BL00073,BS006181,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g28230|A,csr_debug,n_747,sequential_output,2,2,g28230,INV_X1,A,combinational_input,csr_debug|sequential_output|2,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0073_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0073_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
147,BF0074_SA0,BF0074_SA1,0,BL00074,BS006235,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27963|A1,csr_debug,n_77,combinational_output,3,3_4,g27963,NOR2_X1,A1,combinational_input,csr_debug|combinational_output|3_4,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0074_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0074_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
148,BF0074_SA1,BF0074_SA0,1,BL00074,BS006235,cv32e40p_id_stage_COREV_PULP0_COREV_CLUSTER0_N_HWLP2_PULP_SECURE0_USE_PMP0_A_EXTENSION0_APU0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_APU_NARGS_CPU3_APU_WOP_CPU6_APU_NDSFLAGS_CPU15_APU_NUSFLAGS_CPU5_DEBUG_TRIGGER_EN1|g27963|A1,csr_debug,n_77,combinational_output,3,3_4,g27963,NOR2_X1,A1,combinational_input,csr_debug|combinational_output|3_4,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0074_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0074_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
