ordinal,fault_id,paired_fault_id,stuck_at,location_id,site_id,site_key,region,source_net,source_class,source_fanout,fanout_bucket,sink_instance,sink_cell_type,sink_pin,sink_role,stratum,result,screening_decision,xrun_exit_status,run_dir,xrun_log,signature_present,fault_json_present,fault_patch_present
11,BF0006_SA0,BF0006_SA1,0,BL00006,BS000077,cv32e40p_core_COREV_PULP0_COREV_CLUSTER0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_NUM_MHPMCOUNTERS1|g112|A2,csr_debug,mtvec_mode[0],hierarchy_boundary,5,5_8,g112,AND2_X1,A2,combinational_input,csr_debug|hierarchy_boundary|5_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0006_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0006_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
12,BF0006_SA1,BF0006_SA0,1,BL00006,BS000077,cv32e40p_core_COREV_PULP0_COREV_CLUSTER0_FPU0_FPU_ADDMUL_LAT0_FPU_OTHERS_LAT0_ZFINX0_NUM_MHPMCOUNTERS1|g112|A2,csr_debug,mtvec_mode[0],hierarchy_boundary,5,5_8,g112,AND2_X1,A2,combinational_input,csr_debug|hierarchy_boundary|5_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0006_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0006_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
13,BF0007_SA0,BF0007_SA1,0,BL00007,BS000396,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|\inc_add_1387_74_I3/g1651|A2,csr_debug,\inc_add_1387_74_I3/n_6,combinational_output,2,2,\inc_add_1387_74_I3/g1651,NOR2_X1,A2,combinational_input,csr_debug|combinational_output|2,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0007_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0007_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
14,BF0007_SA1,BF0007_SA0,1,BL00007,BS000396,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|\inc_add_1387_74_I3/g1651|A2,csr_debug,\inc_add_1387_74_I3/n_6,combinational_output,2,2,\inc_add_1387_74_I3/g1651,NOR2_X1,A2,combinational_input,csr_debug|combinational_output|2,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0007_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0007_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
15,BF0008_SA0,BF0008_SA1,0,BL00008,BS000415,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|\inc_add_1387_74_I3/g1626|A,csr_debug,\inc_add_1387_74_I3/n_90,combinational_output,2,2,\inc_add_1387_74_I3/g1626,XNOR2_X1,A,combinational_input,csr_debug|combinational_output|2,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0008_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0008_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
16,BF0008_SA1,BF0008_SA0,1,BL00008,BS000415,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|\inc_add_1387_74_I3/g1626|A,csr_debug,\inc_add_1387_74_I3/n_90,combinational_output,2,2,\inc_add_1387_74_I3/g1626,XNOR2_X1,A,combinational_input,csr_debug|combinational_output|2,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0008_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0008_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
17,BF0009_SA0,BF0009_SA1,0,BL00009,BS000434,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|\inc_add_1387_74_I4/g1616|A,csr_debug,\inc_add_1387_74_I4/n_100,combinational_output,2,2,\inc_add_1387_74_I4/g1616,XNOR2_X1,A,combinational_input,csr_debug|combinational_output|2,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0009_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0009_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
18,BF0009_SA1,BF0009_SA0,1,BL00009,BS000434,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|\inc_add_1387_74_I4/g1616|A,csr_debug,\inc_add_1387_74_I4/n_100,combinational_output,2,2,\inc_add_1387_74_I4/g1616,XNOR2_X1,A,combinational_input,csr_debug|combinational_output|2,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0009_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0009_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
19,BF0010_SA0,BF0010_SA1,0,BL00010,BS000463,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|\inc_add_1387_74_I4/g1586|A,csr_debug,\inc_add_1387_74_I4/n_134,combinational_output,2,2,\inc_add_1387_74_I4/g1586,XNOR2_X1,A,combinational_input,csr_debug|combinational_output|2,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0010_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0010_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
20,BF0010_SA1,BF0010_SA0,1,BL00010,BS000463,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|\inc_add_1387_74_I4/g1586|A,csr_debug,\inc_add_1387_74_I4/n_134,combinational_output,2,2,\inc_add_1387_74_I4/g1586,XNOR2_X1,A,combinational_input,csr_debug|combinational_output|2,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0010_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0010_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
